userId,latency_variance_score,unique_comment_ratio,max_duplicate_count,total_duplicates,emoji_percentage,caps_ratio,circular_mean_hour,mean_hour_deviance,std_hour_deviance,unique_channel_count,comment_velocity,account_age,reply_count,toplevel_count,reply_ratio
UC--p5M1Un1Gn8iU11Fll0jA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07186405768071856,-0.1909035786118229,0.0,0.0,0.0
UC--qEvQ4lFlisNJbYSt41ww,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23208300122421668,0.17399175405759285,0.0,0.0,0.0
UC--rB861OjtWSknFz0YUyDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04689601190337713,-0.3846710321629608,0.0,0.0,0.0
UC--uJPdaDGobIx7kkERYEtw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3363398191471269,0.5451827134889684,0.0,0.0,0.0
UC--xr-zdhqStOfp5_NMcN9g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14086132545174912,-0.5110492705087657,0.0,0.0,0.0
UC-01R4nRB2Rrrt2_pTVFoJQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23700984789419555,-0.0523157688900391,0.0,0.0,0.0
UC-01U_r-YiL__aCCK0pNwpw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17622337401863938,0.027706389725201643,0.0,0.0,0.0
UC-07S8CERyN0lI--XxPgIXg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09101699193723914,-0.15489203937016519,0.0,0.0,0.0
UC-09r_ct8Z3d2E0WBIiRnEQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3342368416611545,0.535776501138334,0.0,0.0,0.0
UC-0OAnhf5CDdpjD5L2KiaPw,-0.0074498233688618295,0.0,0.0,0.0,0.0,0.0,0.8260693445074132,-0.8717177011301414,-0.48346219742849783,0.0,0.23918551748156508,0.5160828229225878,2.0,0.0,1.0
UC-0PLv57Zn97wB0gf9uMifQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3267317773998199,0.5030575989275144,0.0,0.0,0.0
UC-0Qs5GtjFYCHd0hHHwG6hA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22361715272636062,0.15008012299084358,0.0,0.0,0.0
UC-0R4qTdv_ECq-e-8uE8tbQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13681044849604762,-0.06180872196797754,0.0,0.0,0.0
UC-0VHLMmyOW0TroftID3ipg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05110719346591304,-0.2282299724793713,0.0,0.0,0.0
UC-0_bIeHuT_6qtXst3-8cyw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34475247028976436,0.5839239169210598,0.0,0.0,0.0
UC-0_eQAKqJRTeQChMRJwEag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2684002125781298,-0.08579457502992825,0.0,0.0,0.0
